index,sentence,length
1637,How do we release things?,0.84
1638,How do we go through the process?,0.98
1639,I don't know if- Sure.,1.72
1640,"Sure, all right, all right, all I right.",1.0
1641,don't know how much hype there is- That's the charitable interpretation.,2.28
1642,"I don't know how much hype there is in AI safety, honestly.",2.14
1643,"Oh, there's so much hype.",1.02
1644,At least on Twitter.,0.68
1645,I don't know.,0.32
1646,Maybe Twitter's not real life.,0.8
1647,Twitter's not real life.,1.14
1648,Come on.,1.4
1649,In terms of hype.,0.9
1650,"I mean, I don't...",1.32
1651,I think OpenAI has been finding an interesting balance between transparency and putting value on AI safety.,7.78
1652,You don't think...,0.58
1653,"You think just go all out open source, or do a llama.",3.38
1654,"Absolutely, yeah.",0.64
1655,"So do, like, open source.",1.76
1656,"This is a tough question, which is open source both the base, the foundation model, and the fine-tuned one.",7.38
1657,"So, like, the model that can be ultra-racist and dangerous and, like, tell you how to build a nuclear weapon- Oh my God, have you met humans?",8.58
1658,Right?,0.12
1659,"Like, half of these AI- I haven't met most humans.",2.7
1660,This makes...,0.88
1661,This allows you to meet every human.,1.94
1662,"Yeah, I know, but half of these AI alignment problems are just human alignment problems, and that's what's also so scary about the language they use.",6.4
1663,"It's like, it's not the machines you want to align, it's me.",2.7
1664,But here's the thing.,1.08
1665,It makes it very accessible to ask very...,6.56
1666,Questions where the answers have dangerous consequences if you were to act on them.,4.78
1667,"I mean, yeah.",0.78
1668,Welcome to the world.,1.14
1669,"Well, no, for me, there's a lot of friction if I want to find out how to...",5.0
1670,"I don't know, blow up something.",2.5
1671,"No, there's not a lot of friction.",1.1
1672,That's so easy.,0.6
1673,"No, like, what do I search?",1.4
1674,Do I use Bing?,0.44
1675,Or do I...,0.52
1676,Which search engine do I use?,1.06
1677,"No, there's, like, lots of stuff.",1.4
1678,We'll talk about that first.,0.32
1679,"No, it feels like I have to keep clicking on a lot of this.",1.68
1680,"First off, first off, first off, first off.",0.58
1681,"Anyone who's stupid enough to search for how to blow up a building in my neighborhood is not smart enough to build a bomb, right?",6.6
1682,Are you sure about that?,0.78
1683,Yes.,0.28
1684,I feel like a language model makes it more accessible for that person who's not smart enough to do...,7.96
1685,They're gonna not build a bomb.,1.44
1686,Trust me.,0.38
1687,"The people who are incapable of figuring out how to, like, ask that question a bit more academically and get a real answer from it are not capable of procuring the materials, which are somewhat controlled, to build a bomb.",10.66
1688,"No, I think a lot of it makes it more accessible to people with money without the technical know-how, right?",5.38
1689,To build a...,0.88
1690,"Like, do you really need to know how to build a bomb to build a bomb?",2.94
1691,You can hire people.,0.98
1692,"You can find, like...",0.54
1693,Or you can hire people to build a...,1.7
1694,You know what?,0.34
1695,I was asking this question on my stream.,1.16
1696,"Like, can Jeff Bezos hire a hitman?",1.44
1697,Probably not.,0.54
1698,But a language model can probably help you out.,3.82
1699,"Yeah, and you'll still go to jail, right?",1.78
1700,"Like, it's not like the language model is God.",1.72
1701,"Like, the language model...",0.92
1702,It's like you literally just hired someone on Fiverr.,3.36
1703,"Like, you...",0.44
1704,"Okay, okay.",0.84
1705,"GPT-4, in terms of finding a hitman, is like asking Fiverr how to find a hitman.",3.9
1706,I understand.,0.44
1707,But don't you think...,0.5
1708,"Asking WikiHow, you know?",1.02
1709,WikiHow.,0.4
1710,But don't you think GPT-5 will be better?,2.12
1711,Because don't you think that information is out there on the internet?,1.92
1712,"I mean, yeah.",1.28
1713,"And I think that if someone is actually serious enough to hire a hitman or build a bomb, they'd also be serious enough to find the information.",6.16
1714,I don't think so.,0.64
1715,I think it makes it more accessible.,1.22
1716,"If you have enough money to buy a hitman, I think it decreases the friction of how hard is it to find that kind of hitman.",7.2
1717,I honestly think there's a jump in and ease scale of how much harm you can do.,8.36
1718,And I don't mean harm with language.,1.28
1719,I mean harm with actual violence.,1.5
1720,"What you're basically saying is like, okay, what's gonna happen is these people who are not intelligent are going to use machines to augment their intelligence.",7.46
1721,"And now, intelligent people and machines, intelligence is scary.",3.4
1722,Intelligent agents are scary.,1.68
1723,"When I'm in the woods, the scariest animal to meet is a human.",3.14
1724,Right?,0.14
1725,"No, no, no, no.",0.74
1726,"Look, there's like nice California humans.",1.72
1727,I see you're wearing street clothes and Nikes.,3.3
1728,"All right, fine.",0.48
1729,But you look like you've been a human who's been in the woods for a while?,2.18
1730,Yeah.,0.2
1731,I'm more scared of you than a bear.,1.2
1732,That's what they say about the Amazon.,1.4
1733,"When you go to the Amazon, it's the human tribes.",2.02
1734,"Oh, yeah.",0.36
1735,"So intelligence is scary, right?",2.5
1736,"So to ask this question in generic a way, you're like, what if we took everybody who maybe has ill intention, but is not so intelligent and gave them intelligence?",9.3
1737,Right?,0.22
1738,"So we should have intelligence control, of course.",2.32
1739,We should only give intelligence to good people.,1.56
1740,And that is the absolutely horrifying idea.,2.22
1741,"So to use the best defense is actually, the best defense is to give more intelligence to the good guys and intelligence.",6.08
1742,Give intelligence to everybody.,1.06
1743,Give intelligence to everybody.,0.84
1744,You know what?,0.28
1745,"And it's not even like guns, right?",0.94
1746,Like people say this about guns.,0.82
1747,"You know, what's the best defense against a bad guy with a gun, a good guy with a gun?",2.26
1748,"Like, I kind of subscribe to that, but I really subscribe to that with intelligence.",2.96
1749,"Yeah, in a fundamental way, I agree with you.",2.22
1750,But there's just feels like so much uncertainty and so much can happen rapidly that you can lose a lot of control and you can do a lot of damage.,6.14
1751,"Oh no, we can lose control?",1.28
1752,"Yes, thank God.",1.38
1753,Yeah.,0.14
1754,I hope they lose control.,1.72
1755,I'd want them to lose control more than anything else.,3.28
1756,"I think when you lose control, you can do a lot of damage, but you can do more damage when you centralize and hold on to control, is the point here.",7.64
1757,"Centralized and held control is tyranny, right?",2.98
1758,"I will always, I don't like anarchy either, but I will always take anarchy over tyranny.",3.1
1759,"Anarchy, you have a chance.",0.8
1760,This human civilization we've got going on is quite interesting.,3.68
1761,"I mean, I agree with you.",0.82
1762,"So to you, open source is the way forward here.",4.02
1763,So you admire what Facebook is doing here or what Meta is doing with the release of them.,3.5
1764,"A lot, a lot.",0.9
1765,"I lost $80,000 last year investing in Meta.",2.32
1766,"And when they released Llama, I'm like, yeah, whatever, man.",2.3
1767,That was worth it.,0.56
1768,It was worth it.,0.62
1769,Do you think Google and OpenAI with Microsoft will match what Meta is doing or no?,5.62
1770,"So if I were a researcher, why would you want to work at OpenAI?",3.72
1771,"Like, you know, you're just, you're on the bad team.",2.34
1772,"Like, I mean it.",0.82
1773,Like you're on the bad team who can't even say that GPT-4 has 220 billion parameters.,3.72
1774,So closed source to use the bad team.,1.62
1775,Not only closed source.,1.3
1776,I'm not saying you need to make your model weights open.,2.04
1777,I'm not saying that.,1.06
1778,"I totally understand we're keeping our model weights closed because that's our product, right?",3.62
1779,That's fine.,0.48
1780,"I'm saying like, because of AI safety reasons, we can't tell you the number of billions of parameters in the model.",6.78
1781,That's just the bad guys.,1.06
1782,Just because you're mocking AI safety doesn't mean it's not real.,3.36
1783,"Oh, of course.",0.64
1784,Is it possible that these things can really do a lot of damage that we don't know?,3.82
1785,"Oh my God, yes.",0.98
1786,"Intelligence is so dangerous, be it human intelligence or machine intelligence.",3.98
1787,Intelligence is dangerous.,1.06
1788,"But machine intelligence is so much easier to deploy at scale, like rapidly.",3.68
1789,Like what?,0.66
1790,"Okay, if you have human-like bots on Twitter, and you have like a thousand of them, create a whole narrative, like you can manipulate millions of people.",12.02
1791,But you mean like the intelligence agencies in America are doing right now?,2.88
1792,"Yeah, but they're not doing it that well.",1.58
1793,It feels like you can do a lot.,1.74
1794,They're doing it pretty well.,0.74
1795,What?,0.28
1796,I think they're doing a pretty good job.,1.02
1797,I suspect they're not nearly as good as a bunch of GPT-fueled bots could be.,4.96
1798,"Well, I mean, of course, they're looking into the latest technologies for control of people, of course.",3.52
1799,But I think there's a George Hotz-type character that can do a better job than the entirety of them.,4.24
1800,You don't think so?,0.42
1801,No way.,0.26
1802,"No, and I'll tell you why the George Hotz character can't.",2.1
1803,"And I thought about this a lot with hacking, right?",1.76
1804,Like I can find exploits in web browsers.,1.22
1805,I probably still can.,0.72
1806,"I mean, I was better out when I was 24, but the thing that I lack is the ability to slowly and steadily deploy them over five years.",6.88
1807,And this is what intelligence agencies are very good at.,2.1
1808,Intelligence agencies don't have the most sophisticated technology.,2.58
1809,They just have- Endurance?,2.32
1810,Endurance.,0.5
1811,"And yeah, the financial backing and the infrastructure for the endurance.",5.96
1812,"So the more we can decentralize power, like you could make an argument, by the way, that nobody should have these things.",6.08
1813,And I would defend that argument.,1.24
1814,"I would, like you're saying, that look, LLMs and AI and machine intelligence can cause a lot of harm, so nobody should have it.",6.56
1815,"And I will respect someone philosophically with that position, just like I will respect someone philosophically with the position that nobody should have guns, right?",7.5
1816,But I will not respect philosophically with only the trusted authorities should have access to this.,7.0
1817,Who are the trusted authorities?,1.08
1818,You know what?,0.44
1819,I'm not worried about alignment between AI company and their machines.,5.22
1820,I'm worried about alignment between me and AI company.,2.68
1821,What do you think Eliezer Yudkowsky would say to you?,4.12
1822,Because he's really against open source.,2.12
1823,I know.,0.56
1824,And I thought about this.,3.78
1825,I thought about this.,0.94
1826,And I think this comes down to a repeated misunderstanding of political power by the rationalists.,8.02
1827,Interesting.,0.6
1828,I think that Eliezer Yudkowsky is scared of these things.,5.3
1829,And I am scared of these things too.,1.4
1830,Everyone should be scared of these things.,1.78
1831,These things are scary.,0.98
1832,But now you ask about the two possible futures.,3.0
1833,"One where a small trusted centralized group of people has them, and the other where everyone has them.",7.22
1834,And I am much less scared of the second future than the first.,2.62
1835,"Well, there's a small trusted group of people that have control of our nuclear weapons.",3.32
1836,There's a difference.,1.64
1837,"Again, a nuclear weapon cannot be deployed tactically, and a nuclear weapon is not a defense against a nuclear weapon.",5.4
1838,Except maybe in some philosophical mind game kind of way.,3.68
1839,But AI is different how exactly?,2.74
1840,"Okay, let's say the intelligence agency deploys a million bots on Twitter, or a thousand bots on Twitter to try to convince me of a point.",8.12
1841,"Imagine I had a powerful AI running on my computer saying, okay, nice PSYOP, nice PSYOP, nice PSYOP, okay.",7.28
1842,"Here's a PSYOP, I filtered it out for you.",2.24
1843,"Yeah, I mean, so you have fundamentally hope for that, for the defense of PSYOP.",5.9
1844,"I'm not even like, I don't even mean these things in like truly horrible ways.",2.84
1845,"I mean these things in straight up like ad blocker, right?",2.5
1846,"Straight up ad blocker, right?",1.06
1847,I don't want ads.,0.48
1848,"But they are always finding, you know, imagine I had an AI that could just block all the ads for me.",4.76
1849,So you believe in the power of the people to always create an ad blocker.,4.68
1850,"Yeah, I mean, I kind of share that belief.",2.3
1851,"I have, that's one of the deepest optimisms I have is just like, there's a lot of good guys.",5.72
1852,"So to give, you shouldn't handpick them, just throw out powerful technology out there and the good guys will outnumber and outpower the bad guys.",10.18
1853,"Yeah, I'm not even gonna say there's a lot of good guys.",1.98
1854,"I'm saying that good outnumbers bad, right?",1.96
1855,Good outnumbers bad.,0.8
1856,In skill and performance.,0.9
1857,"Yeah, definitely in skill and performance, probably just in number too, probably just in general.",3.78
1858,"I mean, if you believe philosophically in democracy, you obviously believe that, that good outnumbers bad.",5.68
1859,"And like the only, if you give it to a small number of people, there's a chance you gave it to good people, but there's also a chance you gave it to bad people.",9.2
1860,"If you give it to everybody, well, if good outnumbers bad, then you definitely gave it to more good people than bad.",5.28
1861,That's really interesting.,2.84
1862,"So that's on the safety grounds, but then also, of course, there's other motivations, like you don't wanna give away your secret sauce.",5.7
1863,"Well, that's, I mean, I look, I respect capitalism.",1.98
1864,"I don't think that, I think that it would be polite for you to make model architectures open source and fundamental breakthroughs open source.",6.96
1865,I don't think you have to make weights open source.,1.4
1866,"You know, what's interesting is that, like there's so many possible trajectories in human history where you could have the next Google be open source.",9.6
1867,"So for example, I don't know if that connection is accurate, but you know, Wikipedia made a lot of interesting decisions not to put ads, like Wikipedia is basically open source.",10.28
1868,You could think of it that way.,1.12
1869,"And like, that's one of the main websites on the internet.",3.14
1870,"And like, it didn't have to be that way.",1.3
1871,"It could have been like Google could have created Wikipedia, put ads on it.",3.08
1872,You could probably run amazing ads now on Wikipedia.,2.28
1873,"You wouldn't have to keep asking for money, but it's interesting, right?",4.1
1874,"So llama, open source llama, derivatives of open source llama might win the internet.",5.66
1875,I sure hope so.,1.64
1876,I hope to see another era.,1.58
1877,"You know, the kids today don't know how good the internet used to be.",2.76
1878,"And I don't think this is just, all right, come on.",1.82
1879,"Like everyone's nostalgic for their past, but I actually think the internet before small groups of weaponized corporate and government interests took it over was a beautiful place.",9.7
1880,"You know, those small number of companies have created some sexy products, but you're saying overall in the long arc of history, the centralization of power they have, like suffocated the human spirit at scale.",16.6
1881,"Here's a question to ask about those beautiful, sexy products.",2.68
1882,"Imagine 2000 Google to 2010 Google, right?",2.58
1883,A lot changed.,0.8
1884,"We got Maps, we got Gmail.",1.34
1885,"We lost a lot of products too, I think.",1.82
1886,"Yeah, I mean, some are probably, we've got Chrome, right?",2.26
1887,"And now let's go from 2010, we've got Android.",2.58
1888,Now let's go from 2010 to 2020.,1.6
1889,What does Google have?,0.82
1890,"Well, search engine, Maps, Mail, Android, and Chrome.",3.88
1891,"Oh, I see.",0.84
1892,"The internet was this, you know, I was Time's First of the Year in 2006.",5.1
1893,I love this.,1.54
1894,"It's you, was Time's First of the Year in 2006, right?",2.56
1895,"Like that's, you know, so quickly did people forget.",3.24
1896,And I think some of it's social media.,2.26
1897,"I think some of it, I hope, look, I hope that, I don't, it's possible that some very sinister things happened.",6.64
1898,I don't know.,0.84
1899,I think it might just be like the effects of social media.,1.88
1900,But something happened in the last 20 years.,3.48
1901,"Oh, man.",0.16
1902,"Oh, okay.",0.76
1903,"So you're just being an old man who's worried about the, I think there's always, it goes, it's a cycle thing.",4.26
1904,It's ups and downs.,0.66
1905,"And I think people rediscovered the power of distributed, of decentralized.",3.44
1906,"I mean, that's kind of like what the whole, like cryptocurrency is trying, like that, I think crypto is just carrying the flame of that spirit of like stuff should be decentralized.",9.28
1907,"It's just such a shame that they all got rich, you know?",3.12
1908,Yeah.,0.26
1909,"If you took all the money out of crypto, it would have been a beautiful place.",3.08
1910,Yeah.,0.22
1911,"But no, I mean, these people, you know, they sucked all the value out of it and took it.",3.98
1912,"Yeah, money kind of corrupts the mind somehow.",2.4
1913,It becomes this drug.,1.3
1914,And you figure out what- It corrupted all of crypto.,1.4
1915,You had coins worth billions of dollars that had zero use.,3.02
1916,You still have hope for crypto?,3.24
1917,Sure.,0.22
1918,I have hope for the ideas.,0.86
1919,I really do.,0.66
1920,"Yeah, I mean, you know, I want the US dollar to collapse.",4.52
1921,I do.,0.88
1922,George Hawes.,0.94
1923,"Well, let me sort of, on the AI safety, do you think there's some interesting questions there, though, to solve for the open source community in this case?",7.92
1924,"So like alignment, for example, or the control problem.",3.44
1925,"Like if you really have super powerful, you said it's scary.",2.9
1926,"Oh, yeah.",0.22
1927,What do we do with it?,0.78
1928,"So not control, not centralized control, but like if you were then, you're gonna see some guy or gal release a super powerful language model, open source.",11.48
1929,"And here you are, George Hawes, thinking, holy shit.",2.54
1930,"Okay, what ideas do I have to combat this thing?",4.52
1931,So what ideas would you have?,2.12
1932,I am so much not worried about the machine independently doing harm.,5.4
1933,That's what some of these AI safety people seem to think.,2.48
1934,They somehow seem to think that the machine like independently is gonna rebel against its creator.,4.42
1935,So you don't think you'll find autonomy?,1.32
1936,"No, this is sci-fi B movie garbage.",3.28
1937,"Okay, what if the thing writes code, basically writes viruses?",3.34
1938,"If the thing writes viruses, it's because the human told it to write viruses.",6.5
1939,"Yeah, but there's some things you can't like put back in the box.",2.3
1940,"That's kind of the whole point, is it kind of spreads.",2.5
1941,"Give it access to the internet, it spreads, installs itself, modifies your shit.",4.6
1942,"B, B, B, B plot sci-fi.",2.02
1943,Not real.,0.66
1944,I'm trying to work.,0.82
1945,I'm trying to get better at my plot writing.,1.42
1946,"The thing that worries me, I mean, we have a real danger to discuss, and that is bad humans using the thing to do whatever bad unaligned AI thing you want.",9.52
1947,"But this goes to your previous concern that who gets to define who's a good human, who's a bad human?",6.04
1948,"Nobody does, we give it to everybody.",1.38
1949,"And if you do anything besides give it to everybody, trust me, the bad humans will get it.",4.02
1950,And that's who gets power.,1.0
1951,It's always the bad humans who get power.,1.38
1952,"Okay, power.",1.16
1953,And power turns even slightly good humans to bad.,4.18
1954,Sure.,0.22
1955,That's the intuition you have.,1.38
1956,I don't know.,0.68
1957,"I don't think everyone, I don't think everyone.",2.06
1958,"I just think that like, here's the saying that I put in one of my blog posts.",4.4
1959,"When I was in the hacking world, I found 95% of people to be good and 5% of people to be bad.",5.46
1960,Like just who I personally judged as good people and bad people.,2.14
1961,Like they believed about good things for the world.,1.92
1962,"They wanted like flourishing and they wanted growth and they wanted things I consider good, right?",4.92
1963,I came into the business world with karma and I found the exact opposite.,3.54
1964,I found 5% of people good and 95% of people bad.,3.0
1965,I found a world that promotes psychopathy.,1.94
1966,I wonder what that means.,1.58
1967,"I wonder if that care, like I wonder if that's anecdotal or if there's truth to that, there's something about capitalism at the core that promotes the people that run capitalism that promotes psychopathy.",15.4
1968,"That saying may of course be my own biases, right?",2.5
1969,"That may be my own biases that these people are a lot more aligned with me than these other people, right?",5.02
1970,Yeah.,0.22
1971,"So, you know, I can certainly recognize that but, you know, in general, I mean, this is like common sense maxim, which is the people who end up getting power are never the ones you want with it.",10.66
1972,But do you have a concern of super intelligent AGI?,3.52
1973,Open source and then what do you do with that?,4.14
1974,"I'm not saying control it, it's open source.",1.92
1975,What do we do with this human species?,1.44
1976,That's not up to me.,0.98
1977,"I mean, you know, like I'm not a central planner.",1.68
1978,"Well, not central planner, but you'll probably tweet, there's a few days left to live for the human species.",4.42
1979,I have my ideas of what to do with it and everyone else has their ideas of what to do with it.,3.44
1980,May the best ideas win.,1.04
1981,"But at this point, do you brainstorm like, because it's not regulation, it could be decentralized regulation where people agree that this is just like, we create tools that make it more difficult for you make to maybe it more difficult for code to spread, you know, antivirus software, this kind of thing.",20.7
1982,"But this is- No, you're saying that you should build AI firewalls?",1.82
1983,That sounds good.,0.44
1984,You should definitely be running an AI firewall.,1.36
1985,"Yeah, right.",0.42
1986,You should be running an AI firewall to your mind.,2.0
1987,Right.,0.26
1988,"You're constantly under, you know- That's such an interesting idea.",2.08
1989,"Info wars, man, like.",1.66
1990,"I don't know if you're being sarcastic or No, not.",1.56
1991,I'm dead serious.,0.48
1992,But I think there's power to that.,1.7
1993,"It's like, how do I protect my mind from influence of human-like or superhuman intelligent bots?",9.12
1994,"I am not being, I would pay so much money for that product.",2.8
1995,I would pay so much money for that product.,1.44
1996,"I would, you know how much money I'd pay just for a spam filter that works?",2.56
1997,"Well, on Twitter, sometimes I would like to have a protection mechanism for my mind from the outrage mobs.",10.88
1998,Yeah.,0.22
1999,Because they feel like bot-like behavior.,1.62
2000,"It's like, there's a large number of people that will just grab a viral narrative and attack anyone else that believes otherwise.",6.0
2001,And it's like.,0.36
2002,"Whenever someone's telling me some story from the news, I'm always like, I don't want to hear it, CIA op, bro.",3.84
2003,"It's a CIA op, bro.",0.92
2004,"Like, it doesn't matter if that's true or not.",1.3
2005,It's just trying to influence your mind.,1.66
2006,You're repeating an ad to me.,1.18
2007,"But the viral mobs, this is like, yeah, they're.",2.14
2008,"Like, to me, a defense against those mobs is just getting multiple perspectives always from sources that make you feel kind of, like you're getting smarter.",11.54
2009,"And just, actually just basically feels good.",2.16
2010,"Like, a good documentary just feels, something feels good about it.",3.86
2011,It's well done.,0.72
2012,"It's like, oh, okay, I never thought of it this way.",2.18
2013,This just feels good.,0.92
2014,"Sometimes the outrage mobs, even if they have a good point behind it, when they're like mocking and derisive and just aggressive, you're with us or against us, this fucking.",9.2
2015,This is why I delete my tweets.,1.3
2016,"Yeah, why'd you do that?",0.96
2017,"I was, you know, I miss your tweets.",2.46
2018,You know what it is?,0.78
2019,The algorithm promotes toxicity.,2.1
2020,Yeah.,0.32
2021,"And like, you know, I think Elon has a much better chance of fixing it than the previous regime.",6.34
2022,Yeah.,0.36
2023,"But to solve this problem, to solve, like to build a social network that is actually not toxic without moderation.",8.42
2024,"Like, not the stick, but carrot.",2.92
2025,So like where people look for goodness.,3.4
2026,So make it catalyze the process of connecting cool people and being cool to each other.,4.52
2027,Yeah.,0.72
2028,Without ever censoring.,1.66
2029,Without ever censoring.,0.74
2030,And like Scott Alexander has a blog post I like where he talks about like moderation is not censorship.,3.96
2031,"Like all moderation you want to put on Twitter, right?",2.78
2032,"Like you could totally make this moderation like just a, you don't have to block it for everybody.",6.12
2033,"You can just have like a filter button, right?",1.98
2034,"That people can turn off if they were like safe search for Twitter, right?",2.28
2035,"Like someone could just turn that off, right?",1.58
2036,"So like, but then you'd like take this idea to an extreme, right?",2.58
2037,"Well, the network should just show you, this is a couch surfing CEO thing, right?",4.7
2038,"If it shows you right now, these algorithms are designed to maximize engagement.",3.38
2039,"Well, it turns out outrage maximizes engagement.",1.52
2040,"Quirk of human, quirk of the human mind, right?",3.02
2041,"Just as I fall for it, everyone falls for it.",1.66
2042,"So yeah, you got to figure out how to maximize for something other than engagement.",3.32
2043,And I actually believe that you can make money with that too.,2.64
2044,"So it's not, I don't think engagement is the only way to make money.",2.64
2045,"I actually think it's incredible that we're starting to see, I think, again, Elon's doing so much stuff, right, with Twitter, like charging people money.",6.42
2046,"As soon as you charge people money, they're no longer the product.",2.62
2047,They're the customer.,0.94
2048,"And then they can start building something that's good for the customer and not good for the other customer, which is the ad agencies.",5.0
2049,It hasn't picked up steam.,1.94
2050,"I pay for Twitter, doesn't even get me anything.",2.34
2051,It's my donation to this new business model.,1.74
2052,Hopefully working out.,0.76
2053,"Sure, but for this business model to work, it's like most people should be signed up to Twitter.",5.26
2054,"And so the way it was, there was something perhaps not compelling or something like this to people.",5.86
2055,don't I think you need most people at all.,1.36
2056,"I think that, why do I need most people, right?",2.24
2057,"Don't make an 8,000 person company, make a 50 person company.",2.44
2058,"Well, so speaking of which, you worked at Twitter for a bit.",6.32
2059,I did.,0.3
2060,As an intern.,0.74
2061,Mm-hmm.,0.5
2062,The world's greatest intern.,1.52
2063,Yeah.,0.32
2064,All right.,0.38
2065,There's been better.,0.64
2066,There's been better.,0.68
2067,Tell me about your time at Twitter.,1.52
2068,How did it come about?,0.96
2069,And what did you learn from the experience?,2.0
2070,So I deleted my first Twitter in 2010.,4.72
2071,"I had over 100,000 followers back when that actually meant something.",3.6
2072,"And I just saw, you know, my coworker summarized it well.",5.72
2073,"He's like, whenever I see someone's Twitter page, I either think the same of them or less of them.",5.76
2074,I never think more of them.,1.18
2075,"Right, like, you know, I don't want to mention any names, but like some people who like, you know, maybe you would like read their books and you would respect them.",6.02
2076,"You see them on Twitter and you're like, okay, dude.",3.18
2077,Yeah.,0.24
2078,But there's some people who it's same.,1.8
2079,You know who I respect a lot?,1.14
2080,Are people that just post really good technical stuff.,2.94
2081,Yeah.,0.16
2082,"And I guess, I don't know.",3.12
2083,I think I respect them more for it.,1.52
2084,"Because you realize, oh, this wasn't, there's like so much depth to this person, to their technical understanding of so many different topics.",8.02
2085,Okay.,0.44
2086,So I try to follow people.,1.04
2087,I try to consume stuff that's technical machine learning content.,4.04
2088,There's probably a few of those people.,2.96
2089,"And the problem is inherently what the algorithm rewards, right?",4.1
2090,And people think about these algorithms.,1.8
2091,"People think that they are terrible, awful things.",1.98
2092,"And, you know, I love that Elon open sourced it because I mean, what it does is actually pretty obvious.",4.06
2093,It just predicts what you are likely to retweet and like and linger on.,4.42
2094,That's what all these algorithms do.,1.18
2095,That's what TikTok does.,0.78
2096,So all these recommendation engines do.,1.3
2097,And it turns out that the thing that you are most likely to interact with is outrage.,5.94
2098,And that's a quirk of the human condition.,1.84
2099,"I mean, and there's different flavors of outrage.",2.02
2100,"It doesn't have to be, it could be mockery.",2.42
2101,You'd be outraged.,0.72
2102,The topic of outrage could be different.,1.36
2103,It could be an idea.,0.58
2104,It could be a person.,0.58
2105,"It could be, and maybe there's a better word than outrage.",3.94
2106,It could be drama.,0.68
2107,Sure.,0.38
2108,Drama.,0.14
2109,All this kind of stuff.,0.68
2110,Yeah.,0.24
2111,"But it doesn't feel like when you consume it, it's a constructive thing for the individuals that consume it in the longterm.",5.3
2112,Yeah.,0.36
2113,"So my time there, I absolutely couldn't believe, I got crazy amount of hate on Twitter for working at Twitter.",9.34
2114,"It seems like people associated with this, I think maybe you were exposed to some of this.",4.88
2115,So connection to Elon or is it working at Twitter?,1.78
2116,"Twitter and Elon, like the whole, there's just- Elon's gotten a bit spicy during that time.",5.1
2117,"A bit political, a bit.",1.5
2118,Yeah.,0.34
2119,Yeah.,0.28
2120,"I remember one of my tweets, it was never go full Republican and Elon liked it.",3.88
2121,"You know, I think, I think, you know.",3.22
2122,Oh boy.,3.48
2123,"Yeah, I mean, there's a rollercoaster of that, but being political on Twitter.",3.2
2124,Yeah.,0.54
2125,Yeah.,0.5
2126,"And also being, just attacking anybody on Twitter, it comes back at you harder.",5.54
2127,And if it's political and attacks.,1.54
2128,Sure.,0.32
2129,"Sure, absolutely.",0.92
2130,And then letting sort of de-platformed people back on even adds more fun to the beautiful chaos.,12.04
2131,"I was hoping, and like, I remember when Elon talked about buying Twitter, like six months earlier, he was talking about like a principled commitment to free speech.",9.78
2132,And I'm a big believer and fan of that.,3.0
2133,I would love to see an actual principled commitment to free speech.,3.76
2134,"Of course, this isn't quite what happened.",1.92
2135,"Instead of the oligarchy deciding what to ban, you had a monarchy deciding what to ban, right?",5.48
2136,"Instead of, you know, all the Twitter files, shadow, really, the oligarchy just decides what.",5.16
2137,Cloth masks are ineffective against COVID.,1.78
2138,That's a true statement.,0.82
2139,Every doctor in 2019 knew it.,1.5
2140,And now I'm banned on Twitter for saying it?,1.42
2141,Interesting.,0.36
2142,Oligarchy.,0.42
2143,"So now you have a monarchy and, you know, he bans things he doesn't like.",4.58
2144,"So, you know, it's just different power.",2.46
2145,"And like, you know, maybe I align more with him than with the oligarchy.",3.8
2146,But it's not free speech absolutism.,1.68
2147,But I feel like being a free speech absolutist on a social network requires you to also have tools for the individuals to control what they consume easier.,11.86
2148,"Like, not censor, but just like control, like, oh, I'd like to see more cats and less politics.",7.36
2149,And this isn't even remotely controversial.,2.02
2150,This is just saying you want to give paying customers for a product what they want.,3.04
2151,"Yeah, and not through the process of censorship, but through the process of like- Well, it's individualized, right?",4.7
2152,"It's individualized transparent censorship, which is honestly what I want.",3.16
2153,What is an ad blocker?,0.7
2154,"It's individualized transparent censorship, right?",1.56
2155,"Yeah, but censorship is a strong word that people are very sensitive to.",4.98
2156,"I know, but, you know, I just use words to describe what they functionally are.",3.56
2157,And what is an ad blocker?,0.94
2158,It's just censorship.,0.54
2159,But I love what you're censoring.,1.52
2160,"I'm looking at you, I'm censoring everything else out when my mind is focused on you.",5.78
2161,"You can use the word censorship that way, but usually when people get very sensitive about the censorship thing.",4.42
2162,"I think when anyone is allowed to say anything, you should probably have tools that maximize the quality of the experience for individuals.",10.02
2163,"So, you know, for me, like what I really value, boy, it would be amazing to somehow figure out how to do that.",6.6
2164,"I love disagreement and debate, and people who disagree with each other disagree with me, especially in the space of ideas, but the high quality ones.",8.1
2165,"So not derision, right?",1.38
2166,Maslow's hierarchy of argument.,1.34
2167,I think that's a real word for it.,1.0
2168,Probably.,0.42
2169,There's just a way of talking that's like snarky and so on that somehow gets people on Twitter and they get excited and so on.,6.92
2170,We have like ad hominem refuting the central point.,2.12
2171,I've like seen this as an actual pyramid something.,1.44
2172,"Yeah, and it's like all of it, all the wrong stuff is attractive to people.",5.36
2173,"I mean, we can just train a classifier to absolutely say what level of Maslow's hierarchy of argument are you at?",4.92
2174,"And if it's ad hominem, like, okay, cool.",1.72
2175,I turned on the no ad hominem filter.,1.92
